"name","level_min","level_max","armor"
"Spawn Point (Only GM can see it)",63,63,68
"Waypoint (Only GM can see it)",63,63,0
"Maginor Dumas",60,60,3075
"Master Mathias Shaw",62,62,4091
"Grizzle Halfmane",61,61,4091
"High Priestess Laurena",60,60,3075
"Felhunter",60,60,0
"Demisette Cloyce",60,60,3075
"General Marcus Jonathan",60,60,3791
"Donal Osgood",61,61,4091
"Keras Wolfheart",61,61,4091
"Ander Germaine",60,60,8401
"Osborne the Night Man",60,60,8401
"Lord Grayson Shadowbreaker",60,60,3075
"Scalebane Lieutenant",60,61,3941
"Wyrmkin Firebrand",61,62,3450
"Scalebane Royal Guard",61,62,6319
"Angus Stern",60,60,3075
"Father Gavin",60,60,20
"Archbishop Benedictus",63,63,3095
"Adair Gilroy",60,60,3075
"Elly Langston",60,60,8401
"Zardeth of the Black Claw",60,60,3075
"Helgrum the Swift",60,60,8401
"Fel'zerul",60,60,8401
"Bethor Iceshard",60,60,8401
"Highlord Bolvar Fordragon",63,63,3749
"Lady Katrana Prestor",62,62,4091
"Grand Admiral Jes-Tereth",62,62,4091
"Mithras Ironhill",62,62,4091
"Caledra Dawnbreeze",60,60,3075
"Stormwind Royal Guard",60,60,4200
"Zun'dartha",60,60,8401
"Scarlet Judge",60,60,3075
"Scarlet Interrogator",61,61,4091
"Scarlet High Clerist",63,63,3795
"Grand Inquisitor Isillien",63,63,4090
"Scarlet Executioner",60,60,3791
"Highlord Taelan Fordring",63,63,6500
"Foreman Jerris",62,62,4391
"High Protector Lorik",61,61,3316
"The Husk",62,62,4391
"Araj the Summoner",61,61,3316
"Darkmaster Gandling",60,61,3791
"High Priest Thel'danis",62,62,4091
"Tirion Fordring",61,61,4091
"Ancient Protector",60,60,4719
"Magistrate Henry Maleb",60,60,3791
"Aethalas",61,61,4091
"Varimathras",62,62,4391
"Commander Aggro'gosh",60,60,3791
"Fleet Master Seahorn",60,60,8401
"Baron Revilgaz",60,60,8401
"Hive'Zara Swarmer",60,60,3791
"King Magni Bronzebeard",63,63,3759
