4/10 21:40:00.880  COMBAT_LOG_VERSION,9,ADVANCED_LOG_ENABLED,1,BUILD_VERSION,1.14.3,PROJECT_ID,2
4/10 22:25:55.168  ENCOUNTER_START,714,"Princess Huhuran",9,40,531,2
4/10 22:25:55.168  COMBATANT_INFO,Player-5233-018E3DFF,0,54,58,391,431,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2611,0,(21,30,0),(),[(21615,81,(2590,0,0),(),()),(21690,75,(),(),()),(19841,68,(2604,0,0),(),()),(53,1,(),(),()),(21663,77,(1891,0,0),(),()),(16925,76,(),(),()),(16922,76,(2590,0,0),(),()),(16919,76,(911,0,0),(),()),(16926,76,(1884,0,0),(),()),(16920,76,(),(),()),(19140,71,(),(),()),(19140,71,(),(),()),(18469,62,(),(),()),(12930,60,(),(),()),(21470,74,(),(),()),(21839,84,(2505,2629,0),(),()),(19142,70,(),(),()),(22254,57,(),(),()),(0,0,(),(),())],[],0,0
4/10 22:25:55.168  COMBATANT_INFO,Player-5233-01891374,0,100,625,570,227,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4608,0,(0,24,27),(),[(16566,74,(),(),()),(15411,63,(),(),()),(16568,74,(),(),()),(18231,1,(),(),()),(16565,74,(1891,0,0),(),()),(19832,61,(),(),()),(16567,71,(),(),()),(16569,71,(911,0,0),(),()),(16935,76,(1886,0,0),(),()),(16571,71,(2564,0,0),(),()),(21402,65,(),(),()),(19325,65,(),(),()),(18473,62,(),(),()),(13965,63,(),(),()),(17102,74,(849,0,0),(),()),(18832,70,(2564,2629,0),(),()),(19099,65,(2564,2629,0),(),()),(19361,77,(2523,0,0),(),()),(19505,20,(),(),())],[Player-5233-01891374,355365,Player-5233-01891374,355366,Player-5233-01891374,355363,Player-5233-01891374,22820,Player-5233-01891374,22818,Player-5233-01891374,22817],0,0
4/10 22:25:55.168  COMBATANT_INFO,Player-5233-012E1DD9,0,305,440,397,83,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2797,0,(19,32,0),(),[(21360,81,(2585,0,0),(),()),(19856,68,(),(),()),(21361,78,(2606,0,0),(),()),(2105,1,(),(),()),(21364,88,(928,0,0),(),()),(21586,88,(),(),()),(21362,81,(2585,0,0),(),()),(21359,78,(1887,0,0),(),()),(21602,81,(1885,0,0),(),()),(21672,76,(2564,0,0),(),()),(19384,83,(),(),()),(21205,80,(),(),()),(19406,75,(),(),()),(11815,58,(),(),()),(21710,88,(849,0,0),(),()),(21650,77,(1900,0,0),(),()),(22806,81,(1900,625,0),(),()),(23557,81,(),(),()),(20131,20,(),(),())],[],0,0
4/10 22:25:55.168  COMBATANT_INFO,Player-5233-01905454,0,419,279,572,69,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6356,0,(2,32,17),(),[(12640,61,(2583,0,0),(),()),(18404,74,(),(),()),(19394,75,(2606,0,0),(),()),(4336,40,(),(),()),(16541,74,(1891,0,0),(),()),(19137,78,(),(),()),(16543,71,(2583,0,0),(),()),(19387,77,(1887,0,0),(),()),(12936,63,(1886,0,0),(),()),(22714,68,(2564,0,0),(),()),(21393,65,(),(),()),(19325,65,(),(),()),(13965,63,(),(),()),(11815,58,(),(),()),(18511,62,(849,0,0),(),()),(21673,76,(),(),()),(21244,79,(1900,1643,0),(),()),(22656,60,(),(),()),(0,0,(),(),())],[Player-5233-01905454,23768,Player-5233-01905454,15366,Player-5233-01905454,355365,Player-5233-01905454,355366,Player-5233-01905454,355363,Player-5233-01905454,22818,Player-5233-01905454,22817,Player-5233-01905454,2458],0,0
4/10 22:25:55.168  COMBATANT_INFO,Player-5233-018FB1EF,0,363,347,506,80,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5247,0,(2,32,17),(),[(19372,74,(2583,0,0),(),()),(18404,74,(),(),()),(21330,78,(),(),()),(0,0,(),(),()),(11726,57,(1891,0,0),(),()),(21463,72,(),(),()),(21332,81,(2583,0,0),(),()),(21706,73,(),(),()),(13400,59,(),(),()),(14551,49,(2564,0,0),(),()),(21202,65,(),(),()),(19325,65,(),(),()),(19120,51,(),(),()),(13965,63,(),(),()),(19436,70,(),(),()),(17075,74,(1900,0,0),(),()),(19324,65,(),(),()),(17072,70,(),(),()),(0,0,(),(),())],[Player-5233-018FB1EF,15366,Player-5233-018FB1EF,355365,Player-5233-018FB1EF,2458],0,0
4/10 22:25:55.168  COMBATANT_INFO,Player-5233-014C9F99,0,73,78,494,432,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1317,0,(0,31,20),(),[(19375,83,(2588,0,0),(),()),(18814,78,(),(),()),(22499,86,(2605,0,0),(),()),(3342,15,(),(),()),(21343,88,(1891,0,0),(),()),(22730,88,(),(),()),(21461,72,(2588,0,0),(),()),(21344,78,(911,0,0),(),()),(21186,62,(1883,0,0),(),()),(22501,88,(2616,0,0),(),()),(23237,83,(),(),()),(22339,63,(),(),()),(19950,68,(),(),()),(19379,83,(),(),()),(22731,88,(2621,0,0),(),()),(19356,81,(2504,2628,0),(),()),(0,0,(),(),()),(19861,68,(),(),()),(0,0,(),(),())],[Player-5233-014C9F99,23768,Player-5233-014C9F99,15366,Player-5233-014C9F99,355365,Player-5233-014C9F99,355366,Player-5233-014C9F99,355363,Player-5233-014C9F99,22820,Player-5233-014C9F99,22818,Player-5233-014C9F99,22817],0,0
4/10 22:25:55.168  COMBATANT_INFO,Player-5233-0192B66E,0,423,308,460,108,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4922,0,(17,34,0),(),[(12640,61,(2543,0,0),(),()),(21664,77,(),(),()),(21330,78,(),(),()),(11840,55,(),(),()),(11726,57,(1891,0,0),(),()),(19137,78,(),(),()),(22385,60,(2543,0,0),(),()),(19387,77,(1887,0,0),(),()),(21618,78,(1885,0,0),(),()),(14551,49,(2564,0,0),(),()),(19325,65,(),(),()),(19384,83,(),(),()),(11815,58,(),(),()),(22954,85,(),(),()),(21701,73,(),(),()),(21650,77,(1900,0,0),(),()),(19352,77,(1900,2506,0),(),()),(23557,81,(),(),()),(5976,1,(),(),())],[Player-5233-0192B66E,15366,Player-5233-0192B66E,355365,Player-5233-0192B66E,355366,Player-5233-0192B66E,355363,Player-5233-0192B66E,22820,Player-5233-0192B66E,22818,Player-5233-0192B66E,22817,Player-5233-0192B66E,2458],0,0
4/10 22:25:55.168  COMBATANT_INFO,Player-5233-012DB7DC,0,264,448,397,49,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2651,0,(15,31,5),(),[(21360,81,(),(),()),(21664,77,(),(),()),(21361,78,(2606,0,0),(),()),(16060,20,(),(),()),(21680,78,(),(),()),(19396,75,(),(),()),(21362,81,(2585,0,0),(),()),(21359,78,(911,0,0),(),()),(19836,61,(1886,0,0),(),()),(21672,76,(2564,0,0),(),()),(21596,88,(),(),()),(19384,83,(),(),()),(21670,76,(),(),()),(13965,63,(),(),()),(21710,88,(910,0,0),(),()),(21126,84,(1900,564,0),(),()),(19346,74,(1900,625,0),(),()),(17072,70,(),(),()),(19031,20,(),(),())],[],0,0
4/10 22:25:55.168  COMBATANT_INFO,Player-5233-012E58CD,0,529,289,691,105,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6859,0,(0,32,19),(),[(21329,81,(1506,0,0),(),()),(18404,74,(),(),()),(21330,78,(2606,0,0),(),()),(6125,1,(),(),()),(21331,88,(928,0,0),(),()),(19137,78,(),(),()),(16543,71,(2583,0,0),(),()),(16545,71,(911,0,0),(),()),(22936,83,(1885,0,0),(),()),(21581,88,(2564,0,0),(),()),(19384,83,(),(),()),(19376,83,(),(),()),(19406,75,(),(),()),(20130,52,(),(),()),(23030,83,(1889,0,0),(),()),(19019,80,(1900,564,0),(),()),(23242,88,(1900,0,0),(),()),(17072,70,(),(),()),(5976,1,(),(),())],[Player-5233-012E58CD,23768,Player-5233-012E58CD,15366,Player-5233-012E58CD,355365,Player-5233-012E58CD,355363,Player-5233-012E58CD,22820,Player-5233-012E58CD,22818,Player-5233-012E58CD,22817,Player-5233-012E58CD,2458],0,0
